threads_P,chunk_size_C,mean_time_seconds
2,1,1.667563333333722
2,16,1.69753343333529
2,64,2.170146966670776
2,256,1.7202323666667023
4,1,1.7264129000007717
4,16,1.6352374666651788
4,64,1.6504796666680097
4,256,1.7064672333338724
8,1,1.6960580000013579
8,16,1.8296403666681726
8,64,1.6852848666652183
8,256,1.9926395000026484
16,1,1.8390476999993552
16,16,1.837604566666414
16,64,1.9073961999965832
16,256,1.7963798666678485
