threads_P,computed_pi,absolute_error
1,3.141592653589994,2.007283228522283e-13
2,3.141592653589842,4.884981308350689e-14
4,3.141592653589924,1.3100631690576847e-13
8,3.141592653589981,1.8784973576657649e-13
